SIDO_DISTR,SIDO__DISTR,SIDO_NM,VOTE_POP,VOTE_CNT,VOTE_SPLT_POP,VOTE_SPLT_CNT,SCS_CD,SCS_PRT,CAN1,CAN1_PRT,CAN1_CNT,CAN2,CAN2_PRT,CAN2_CNT,CAN3,CAN3_PRT,CAN3_CNT,CAN4,CAN4_PRT,CAN4_CNT
경기도파주시을,경기도_파주시을,경기도,192812,119610,73202,1555,"
박정",더불어민주당,박정,더불어민주당,64741,한길룡,국민의힘,53314,0,0,0,0,0,0
경기도평택시갑,경기도_평택시갑,경기도,166864,98026,68838,1274,홍기원,더불어민주당,홍기원,더불어민주당,55550,한무경,국민의힘,41202,0,0,0,0,0,0
경기도평택시병,경기도_평택시병,경기도,171693,106796,64897,1057,김현정,더불어민주당,김현정,더불어민주당,55794,유의동,국민의힘,45977,전용태,새로운미래,3968,0,0,0
경기도평택시을,경기도_평택시을,경기도,159378,93414,65964,1219,이병진,더불어민주당,이병진,더불어민주당,49998,정우성,국민의힘,42197,0,0,0,0,0,0
경기도포천시가평군,경기도_포천시가평군,경기도,183868,118666,65202,1397,김용태,국민의힘,박윤국,더불어민주당,56715,김용태,국민의힘,59192,최영록,개혁신당,1362,0,0,0
경기도하남시갑,경기도_하남시갑,경기도,144860,102646,42214,989,추미애,더불어민주당,추미애,더불어민주당,51428,이용,국민의힘,50229,0,0,0,0,0,0
경기도하남시을,경기도_하남시을,경기도,127378,87372,40006,771,김용만,더불어민주당,김용만,더불어민주당,44734,이창근,국민의힘,37850,추민규,새로운미래,4017,0,0,0
경기도화성시갑,경기도_화성시갑,경기도,221628,137547,84081,1710,송옥주,더불어민주당,송옥주,더불어민주당,75916,홍형선,국민의힘,59921,0,0,0,0,0,0
경기도화성시병,경기도_화성시병,경기도,207233,131923,75310,1744,권칠승,더불어민주당,권칠승,더불어민주당,80110,최영근,국민의힘,48360,신상철,무소속,1709,0,0,0
경기도화성시을,경기도_화성시을,경기도,169135,122944,46191,684,이준석,개혁신당,공영운,더불어민주당,48578,한정민,국민의힘,21826,이준석,개혁신당,51856,0,0,0
경기도화성시정,경기도_화성시정,경기도,164120,113130,50990,1059,전용기,더불어민주당,전용기,더불어민주당,62457,유경준,국민의힘,38207,이원욱,개혁신당,10344,이준희,무소속,1063
경상남도거제시,경상남도_거제시,경상남도,191224,129145,62079,1126,서일준,국민의힘,변광용,더불어민주당,59753,서일준,국민의힘,65590,김범준,개혁신당,2676,0,0,0
경상남도김해시갑,경상남도_김해시갑,경상남도,222271,142487,79784,1665,민홍철,더불어민주당,민홍철,더불어민주당,73901,박성호,국민의힘,66921,0,0,0,0,0,0
경상남도김해시을,경상남도_김해시을,경상남도,223355,145317,78038,1718,김정호,더불어민주당,김정호,더불어민주당,80695,조해진,국민의힘,62904,0,0,0,0,0,0
경상남도밀양시의령군함안군창녕군,경상남도_밀양시의령군함안군창녕군,경상남도,218917,147435,71482,3174,박상웅,국민의힘,우서영,더불어민주당,47811,박상웅,국민의힘,96450,0,0,0,0,0,0
경상남도사천시남해군하동군,경상남도_사천시남해군하동군,경상남도,169430,118511,50919,2031,서천호,국민의힘,제윤경,더불어민주당,37664,서천호,국민의힘,64750,최상화,무소속,14066,0,0,0
경상남도산청군함양군거창군합천군,경상남도_산청군함양군거창군합천군,경상남도,154837,108650,46187,2187,신성범,국민의힘,김기태,더불어민주당,30881,신성범,국민의힘,75582,0,0,0,0,0,0
경상남도양산시갑,경상남도_양산시갑,경상남도,151262,100827,50435,933,윤영석,국민의힘,이재영,더불어민주당,44735,윤영석,국민의힘,53560,김효훈,개혁신당,1599,0,0,0
경상남도양산시을,경상남도_양산시을,경상남도,146338,100240,46098,955,김태호,국민의힘,김두관,더불어민주당,48600,김태호,국민의힘,50685,0,0,0,0,0,0
경상남도진주시갑,경상남도_진주시갑,경상남도,167725,115510,52215,1721,박대출,국민의힘,갈상돈,더불어민주당,47450,박대출,국민의힘,66339,0,0,0,0,0,0
경상남도진주시을,경상남도_진주시을,경상남도,121959,82267,39692,1053,강민국,국민의힘,한경호,더불어민주당,24540,강민국,국민의힘,45590,김병규,무소속,11084,0,0,0
경상남도창원시마산합포구,경상남도_창원시마산합포구,경상남도,155430,104741,50689,1253,최형두,국민의힘,이옥선,더불어민주당,37205,최형두,국민의힘,66283,0,0,0,0,0,0
경상남도창원시마산회원구,경상남도_창원시마산회원구,경상남도,156812,108004,48808,1302,윤한홍,국민의힘,송순호,더불어민주당,42924,윤한홍,국민의힘,63778,0,0,0,0,0,0
경상남도창원시성산구,경상남도_창원시성산구,경상남도,208594,147087,61507,1580,허성무,더불어민주당,허성무,더불어민주당,67489,강기윤,국민의힘,66507,여영국,녹색정의당,11511,0,0,0
경상남도창원시의창구,경상남도_창원시의창구,경상남도,182326,122373,59953,1603,김종양,국민의힘,김지수,더불어민주당,51560,김종양,국민의힘,69210,0,0,0,0,0,0
경상남도창원시진해구,경상남도_창원시진해구,경상남도,158141,102928,55213,1225,이종욱,국민의힘,황기철,더불어민주당,50603,이종욱,국민의힘,51100,0,0,0,0,0,0
경상남도통영시고성군,경상남도_통영시고성군,경상남도,147305,101091,46214,1416,정점식,국민의힘,강석주,더불어민주당,38424,정점식,국민의힘,61251,0,0,0,0,0,0
경상북도경산시,경상북도_경산시,경상북도,231226,146774,84452,3085,조지연,국민의힘,조지연,국민의힘,62411,엄정애,녹색정의당,9044,남수정,진보당,11488,최경환,무소속,60746
경상북도경주시,경상북도_경주시,경상북도,217609,142243,75366,2268,김석기,국민의힘,한영태,더불어민주당,33968,김석기,국민의힘,92074,정수경,자유통일당,1423,김일윤,무소속,12510
경상북도고령군성주군칠곡군,경상북도_고령군성주군칠곡군,경상북도,160408,103307,57101,1397,정희용,국민의힘,정석원,더불어민주당,21901,정희용,국민의힘,77692,박영찬,무소속,2317,0,0,0
경상북도구미시갑,경상북도_구미시갑,경상북도,173050,106445,66605,1596,구자근,국민의힘,김철호,더불어민주당,28749,구자근,국민의힘,76100,0,0,0,0,0,0
경상북도구미시을,경상북도_구미시을,경상북도,164338,94984,69354,1303,강명구,국민의힘,김현권,더불어민주당,31261,강명구,국민의힘,61166,김영확,자유통일당,1254,0,0,0
